First_author,year,settlement,stae,region
Isezuo,2011,urban,sokoto,north_west
Umuerri,2020,urban,delta,south_south
Nwatu,2017,rural,enugu,south_east
Suleiman,2013,urban,bayelsa,south_south
Kooffreh,2016,urban,cross river,south_south
Andy,2012,rural,akwa ibom and cross rivers,south_south
Raimi,2020,rural,ogun,south_west
Odili,2020,urban + rural,6 states,all 6 zones
Tagurum,2015,rural,plateu,north_central
Oladoyinbo,2015,urban,ogun,south_west
Ganiyu,2014,rural,delta,south_south
Olamoyegun,2016,urban,ekiti,south_west
Abu-Saeed,2014,urban,kwara,north_central
Okpechi,2013,urban,abia,south_east
Obiebi,2019,urban,delta,south_south
Opreh,2021,rural,osun,south_west
Upla,2020,rural,nasarawa,north_central
Okubadejo,2019,urban,lagos,south_west
Charles-Davies,2013,urban,ibadan,south_west
Ajayi,2016,urban,ibadan,south_west
Okafor,2011,urban,enugu,south_east
